user_id,crowd_r,crowd_concordance,knn_concordance,eigentaste_concordance,gap_knn_minus_crowd,gap_train_only,crowd_nmae,knn_nmae,train_mean,train_std
23902,-0.3930,0.2451,0.7849,0.4355,0.5398,0.1825,0.4670,0.3727,1.788,8.316
24853,-0.1211,0.2887,0.6529,0.4588,0.3643,0.1599,0.1863,0.0904,3.814,2.439
11552,-0.6310,0.2835,0.6289,0.4485,0.3454,0.2200,0.4147,0.3352,0.404,7.088
19014,-0.0148,0.4555,0.7910,0.6271,0.3355,0.2639,0.3053,0.1318,-3.057,5.190
6282,-0.1530,0.4344,0.7648,0.5913,0.3303,0.3133,0.2998,0.1725,-1.491,5.087
17950,-0.5160,0.3377,0.6597,0.4506,0.3221,0.2050,0.3852,0.3171,0.536,6.865
12520,-0.3297,0.4115,0.7318,0.5052,0.3203,0.1108,0.3005,0.0742,7.820,1.878
8651,-0.1028,0.3777,0.6921,0.5990,0.3144,0.1544,0.2500,0.1175,5.208,4.007
3832,0.1436,0.6417,0.9545,0.6925,0.3128,0.3515,0.0554,0.0604,1.387,0.753
4052,-0.0071,0.3966,0.7087,0.5072,0.3121,0.1180,0.4147,0.3319,-1.727,7.484
24885,-0.1422,0.4204,0.7322,0.6921,0.3118,0.1946,0.3179,0.2064,4.119,6.348
22029,-0.1670,0.3477,0.6576,0.6068,0.3099,0.1866,0.2609,0.1737,4.146,4.954
15302,0.1396,0.3983,0.7063,0.5716,0.3080,0.1775,0.1964,0.0664,3.535,3.695
23550,-0.4427,0.3737,0.6810,0.4714,0.3073,0.2321,0.3569,0.1644,-2.855,5.220
12945,0.0468,0.4131,0.7203,0.5686,0.3072,0.0982,0.3058,0.0515,7.685,1.582
24894,-0.1608,0.3024,0.6062,0.4207,0.3038,0.1822,0.3693,0.1196,-5.224,3.338
3072,0.1243,0.3886,0.6891,0.6127,0.3005,0.1447,0.2008,0.0943,3.905,3.734
4214,-0.0815,0.3180,0.6176,0.4560,0.2996,0.1106,0.2878,0.1721,4.775,4.596
23244,-0.2423,0.4021,0.6985,0.5193,0.2964,0.0576,0.2467,0.1969,1.255,4.868
715,-0.2474,0.4157,0.7117,0.6152,0.2960,0.2633,0.1945,0.1363,1.659,3.874
2462,-0.0827,0.4729,0.7668,0.6637,0.2938,0.1576,0.2981,0.1947,1.532,4.624
19413,0.1686,0.3703,0.6623,0.4394,0.2920,0.1681,0.1579,0.0622,3.463,2.900
14250,-0.0299,0.4961,0.7868,0.6408,0.2907,0.1705,0.3231,0.2058,-1.467,6.425
22285,0.2173,0.5019,0.7925,0.5422,0.2905,0.0548,0.1724,0.0623,-2.250,2.182
20126,-0.0478,0.3959,0.6812,0.6105,0.2853,0.2074,0.2887,0.1622,-1.690,4.423
16059,-0.1445,0.3877,0.6727,0.4673,0.2850,0.1609,0.2121,0.1309,4.489,3.749
21627,-0.0097,0.4513,0.7359,0.6000,0.2846,0.1819,0.2759,0.1744,2.227,5.344
23714,-0.0032,0.3014,0.5860,0.4592,0.2846,0.0381,0.2862,0.1522,4.132,5.056
24198,0.0302,0.4070,0.6886,0.4561,0.2817,0.2248,0.1277,0.0811,0.323,3.253
12929,0.1075,0.5212,0.8010,0.6855,0.2798,0.1339,0.2093,0.1420,1.035,5.015
15399,0.0796,0.5332,0.8127,0.7087,0.2796,0.0972,0.3167,0.1740,5.363,4.497
23044,0.0543,0.3128,0.5916,0.3979,0.2788,0.1352,0.2539,0.0885,4.343,4.711
12778,-0.0275,0.4736,0.7516,0.7259,0.2780,0.2156,0.1907,0.0923,4.346,2.908
